iteration,max_combo_size.train,total_time.train,n_subset_candidates.train,n_subsets_continued.train,max_combo_size.test,total_time.test,n_subset_candidates.test,n_subsets_continued.test
18,3,103.99683594703674,952966,84138,3,85.12318205833435,930766,77368
18,2,112.51252603530884,7541266,84138,2,94.51882886886597,6572462,77368
19,14,92.38001203536987,728435,75168,14,87.86044692993164,702406,73537
19,13,91.57968592643738,728435,75168,13,86.76565599441528,702406,73537
19,12,91.77959394454956,728435,75168,12,86.71654605865479,702406,73537
19,11,91.44502091407776,728435,75168,11,86.61137700080872,702406,73537
19,10,92.66335821151733,728435,75168,10,87.57983613014221,702406,73537
19,9,92.29201221466064,728435,75168,9,86.75592994689941,702406,73537
19,8,91.59135508537292,728435,75168,8,86.68629503250122,702406,73537
19,7,92.46271991729736,728435,75168,7,87.73208618164062,702406,73537
19,6,91.37822079658508,728436,75168,6,86.7999918460846,702408,73537
19,5,91.20271515846252,728512,75168,5,86.47990298271179,702571,73537
19,4,92.64499092102051,733021,75168,4,85.62084817886353,708168,73537
19,3,88.09348678588867,933772,75168,3,82.3353431224823,913722,73537
19,2,94.45370507240295,6529114,75168,2,89.58320093154907,6304526,73537
20,14,94.75142693519592,717630,78847,14,83.69339394569397,716949,71399
20,13,95.5401999950409,717630,78847,13,84.2997350692749,716949,71399
20,12,94.72147607803345,717630,78847,12,83.912672996521,716949,71399
20,11,94.68747687339783,717630,78847,11,83.98608183860779,716949,71399
20,10,95.69747996330261,717630,78847,10,83.7970118522644,716949,71399
20,9,94.65724992752075,717630,78847,9,84.53974604606628,716949,71399
20,8,94.96623492240906,717630,78847,8,84.29928803443909,716949,71399
20,7,95.52414584159851,717630,78847,7,83.7070198059082,716949,71399
20,6,94.72918105125427,717630,78847,6,84.54856514930725,716950,71399
20,5,94.2582061290741,717768,78847,5,83.52753806114197,717076,71399
20,4,92.89901113510132,723027,78847,4,82.32543587684631,722195,71399
20,3,89.71332311630249,934919,78847,3,78.97616004943848,920797,71399
20,2,99.47398900985718,6862816,78847,2,89.67519092559814,6098739,71399
21,14,88.10657286643982,702490,73386,14,88.14446091651917,725665,73239
21,13,86.12246012687683,702490,73386,13,86.8783791065216,725665,73239
21,12,87.10133290290833,702490,73386,12,86.84251999855042,725665,73239
21,11,86.30108714103699,702490,73386,11,87.64018607139587,725665,73239
21,10,86.37230014801025,702490,73386,10,86.95091700553894,725665,73239
21,9,86.40745711326599,702490,73386,9,86.9121298789978,725665,73239
21,8,87.38292121887207,702490,73386,8,86.8645269870758,725665,73239
21,7,86.0319128036499,702490,73386,7,87.58106422424316,725665,73239
21,6,86.03722095489502,702501,73386,6,87.00065398216248,725665,73239
21,5,86.86503410339355,702772,73386,5,86.77890110015869,725769,73239
21,4,84.7796881198883,708070,73386,4,86.3940839767456,731041,73239
21,3,80.75283813476562,914398,73386,3,82.06444001197815,927296,73239
21,2,88.95010495185852,6261411,73386,2,90.18342804908752,6307826,73239
22,14,89.08076691627502,717157,74717,14,87.09732294082642,711146,73124
22,13,88.11419820785522,717157,74717,13,87.53786301612854,711146,73124
22,12,87.71513795852661,717157,74717,12,89.49563217163086,711146,73124
22,11,88.29941582679749,717157,74717,11,86.69589400291443,711146,73124
22,10,90.09429597854614,717157,74717,10,87.51650905609131,711146,73124
22,9,88.79935598373413,717157,74717,9,86.79360604286194,711146,73124
22,8,89.9486448764801,717157,74717,8,86.72098588943481,711146,73124
22,7,89.78918504714966,717157,74717,7,86.67362308502197,711146,73124
22,6,88.38795804977417,717158,74717,6,87.73021602630615,711146,73124
22,5,88.2225329875946,717335,74717,5,86.50322914123535,711309,73124
22,4,86.16951012611389,722362,74717,4,85.36453986167908,716096,73124
22,3,83.60966491699219,920866,74717,3,83.10791897773743,922939,73124
22,2,92.21813011169434,6412594,74717,2,90.51122713088989,6340104,73124
23,14,94.34193801879883,724609,77630,14,82.38726615905762,706689,70817
23,13,94.16121411323547,724609,77630,13,82.04070401191711,706689,70817
23,12,94.93876719474792,724609,77630,12,83.06752490997314,706689,70817
23,11,94.68630886077881,724609,77630,11,82.08719515800476,706689,70817
23,10,94.01642203330994,724609,77630,10,81.81447982788086,706689,70817
23,9,94.95467686653137,724609,77630,9,82.667062997818,706689,70817
23,8,94.17426180839539,724609,77630,8,82.13188910484314,706689,70817
23,7,93.85091996192932,724609,77630,7,81.90356588363647,706689,70817
23,6,94.56326794624329,724609,77630,6,81.89552807807922,706689,70817
23,5,93.52256798744202,724817,77630,5,82.85173988342285,706815,70817
23,4,92.2051899433136,729802,77630,4,81.37920999526978,712002,70817
23,3,89.29431414604187,932154,77630,3,77.65955305099487,905846,70817
23,2,97.38522696495056,6743731,77630,2,85.21165204048157,5989587,70817
24,14,83.54433488845825,712076,71277,14,84.61068606376648,712289,71686
24,13,82.36638808250427,712076,71277,13,85.03216910362244,712289,71686
24,12,82.34240794181824,712076,71277,12,84.50350594520569,712289,71686
24,11,83.2599949836731,712076,71277,11,84.38359308242798,712289,71686
24,10,82.95982599258423,712076,71277,10,84.39971399307251,712289,71686
24,9,85.17734789848328,712076,71277,9,85.29389500617981,712289,71686
24,8,82.34032201766968,712076,71277,8,84.62997698783875,712289,71686
24,7,83.37811493873596,712076,71277,7,84.33385396003723,712289,71686
24,6,82.57476711273193,712078,71277,6,85.0918710231781,712290,71686
24,5,82.22075915336609,712177,71277,5,84.22178983688354,712440,71686
24,4,81.85253596305847,716963,71277,4,83.19586181640625,718436,71686
24,3,78.1892499923706,911256,71277,3,79.83506202697754,918795,71686
24,2,85.32219696044922,6002542,71277,2,88.82283091545105,6209271,71686
25,14,97.72137999534607,733552,77588,14,99.11386704444885,704337,77321
25,13,97.65144419670105,733552,77588,13,94.7920560836792,704337,77321
25,12,98.37438488006592,733552,77588,12,95.13948893547058,704337,77321
25,11,97.52039384841919,733552,77588,11,94.21311712265015,704337,77321
25,10,97.35467195510864,733552,77588,10,95.04691195487976,704337,77321
25,9,98.27533006668091,733552,77588,9,94.1993498802185,704337,77321
25,8,97.84172701835632,733552,77588,8,97.26083016395569,704337,77321
25,7,97.27742195129395,733552,77588,7,93.44985103607178,704337,77321
25,6,97.88054299354553,733552,77588,6,94.20633912086487,704338,77321
25,5,97.09116697311401,733744,77588,5,92.8681960105896,704472,77321
